Time,Glc,Fru,Cit,EtOH,LA,Ac,Y (log(CFU/g)),Y,LAB (log(CFU/g) MRS),LAB,AAB (log(CFU/g)),AAB,T,pH,T_ext,Microbial conversions (mg/CFU)
0,51.998,57.712,9.1697,0,0,0,6.3234,3.16E-02,6.8473,8.79E-03,2.4461,7.82E-08,27.764,3.4337,26.712,1.50E-08
6,43.951,49.665,7.8721,2.9847,0.28133,0.14881,6.2635,2.75E-02,7.7605,7.20E-02,4.5419,9.75E-06,28.145,3.389,30.847,1.25E-09
12,23.991,35.807,6.8844,9.0834,0.81915,1.6694,7.8204,9.92E-01,7.804,7.96E-02,4.7665,1.64E-05,31.98,3.536,21.094,2.80E-10
18,25.919,33.861,7.9779,9.6362,1.2976,0.98929,7.1916,2.33E-01,8.2695,2.32E-01,4.8263,1.88E-05,33.938,3.656,19.674,0.00E+00
24,11.965,19.712,8.3187,6.0946,1.7611,4.0117,6.518,4.94E-02,8.2096,2.03E-01,5.2749,5.27E-05,35.596,3.6683,29.891,0.00E+00
30,4.5954,8.1785,7.3753,11.151,5.957,5.1753,5.8443,1.05E-02,8.524,4.18E-01,5.5749,1.05E-04,37.255,3.6386,30.047,0.00E+00
36,1.6814,2.8434,6.3139,16.208,3.2532,2.7108,6.6527,6.74E-02,8.509,4.04E-01,5.7545,1.59E-04,38.687,3.6418,21.345,0.00E+00
42,4.4819,4.4819,2.7432,10.247,7.806,3.577,5.7545,8.52E-03,8.6737,5.90E-01,5.9192,2.32E-04,39.745,3.666,21.126,0.00E+00
48,5.6357,7.0885,1.0766,20.067,8.0018,4.3095,4.5719,5.60E-04,8.509,4.04E-01,6.3982,7.00E-04,40.652,3.7022,37.874,0.00E+00
54,3.6903,4.6588,1.6535,22.481,6.9635,4.1794,4.2725,2.81E-04,8.509,4.04E-01,6.0988,3.52E-04,41.86,3.7264,32.25,0.00E+00
60,3.6821,7.4595,0.76919,5.7261,8.6017,6.1757,5.6048,6.04E-03,8.2246,2.10E-01,6.6377,1.22E-03,42.767,3.7506,23.998,0.00E+00
66,1.0589,1.1553,0.93277,5.5716,8.3367,3.3098,5.1856,2.30E-03,8.1796,1.89E-01,6.8473,1.97E-03,43.975,3.7539,21.903,0.00E+00
72,4.4401,5.2151,1.1702,13.904,6.8819,5.3656,4.4521,4.25E-04,8.1497,1.76E-01,6.3683,6.54E-04,43.756,3.7661,24.011,0.00E+00
84,0.45257,0.35572,0.90708,4.8477,8.084,4.3918,4.7814,9.07E-04,8.0898,1.54E-01,6.6228,1.17E-03,43.093,3.8385,21.997,0.00E+00
96,1.9856,2.0825,1.6476,9.2287,7.7397,3.7007,4.8263,1.01E-03,6.8623,9.10E-03,5.9491,2.49E-04,42.956,3.8929,32.22,0.00E+00
120,2.7276,2.8241,2.0659,4.2187,7.3038,4.3256,3.8683,1.11E-04,6.7575,7.15E-03,5.3503,6.27E-05,43.056,4.0227,21.21,0.00E+00
144,3.4689,2.9844,2.5728,7.3974,8.2061,6.0212,3.8683,1.11E-04,6.2186,2.07E-03,4.991,2.74E-05,44.358,4.2812,32.347,0.00E+00
