,name,count
0,K_EtOH_AAB,14
1,A_max,14
2,mu_max_LAB_Fru,14
3,mu_max_LAB_Glc,13
4,mu_max_AAB_EtOH,12
5,mu_max_LAB_Cit,11
6,K_O2_EtOH,11
7,mu_max_AAB_Ac,11
8,t_aer,11
9,Y_Cit_LAB,10
10,k_AAB,9
11,b_LA,9
12,Q_L,9
13,mu_max_Y_Fru,8
14,Y_EtOH_Y_Glc,8
15,Y_LA_LAB_Fru,7
16,k_Y,6
17,mu_max_Y_Glc,6
18,Y_EtOH_AAB,6
19,Y_Ac_AAB,6
20,Y_Fru_LAB,5
21,Y_Q_Glc,5
22,Y_Q_EtOH,4
23,K_Ac_AAB,3
24,Y_Ac_AAB_EtOH,3
25,Y_Ac_LAB_Glc,3
26,K_O2_Ac,3
27,Y_Glc_Y,2
28,Y_LA_LAB_Cit,2
29,K_Glc_Y,1
30,K_Fru_LAB,1
31,Y_Q_Fru,1
32,K_Glc_LAB,1
33,Y_Ac_Y_Fru,1
34,Y_Ac_Y_Glc,1
35,Y_EtOH_Y_Fru,1
36,b_AC0,1
37,Y_LA_LAB_Glc,1
38,Y_Ac_LAB_Cit,1
39,Y_EtOH_LAB_Fru,1
40,Y_LA_Y,1
41,Y_Glc_LAB,1
42,K_O2_LA,1
43,Y_Q_LA,1
44,mu_max_AAB_LA,0
45,K_Fru_Y,0
46,K_Cit_LAB,0
47,b_E0,0
48,b_AC1,0
49,Y_Fru_Y,0
50,K_LA_AAB,0
51,k_LAB,0
52,mu_max_Y_LA,0
53,K_LA_Y,0
54,Y_EtOH_LAB_Glc,0
55,Y_Ac_LAB_Fru,0
56,Y_LA_AAB,0
57,Y_Ac_AAB_LA,0
58,b_E1,0
59,Y_EtOH_Y_LA,0
