name,mu_star_0,mu_star_1,mu_star_2,mu_star_3,mu_star_4,mu_star_5,mu_star_6,mu_star_7,mu_star_8,mu_star_9,mu_star_10,mu_star_11,mu_star_12,mu_star_13,mu_star_14,mu_star_15,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15
k_AAB,1,26,11,30,36,10,12,29,22,11,18,7,10,8,44,11,1,27,12,28,37,9,11,31,20,8,19,6,9,6,47,11
mu_max_AAB_EtOH,2,23,27,8,7,1,11,6,8,6,22,3,5,18,2,1,2,26,27,9,8,3,13,7,9,9,20,2,7,22,2,1
K_EtOH_AAB,3,5,4,9,1,2,15,21,3,2,7,4,8,6,17,7,3,5,6,14,2,5,14,22,1,5,8,4,8,9,18,8
k_Y,4,28,12,28,17,34,26,17,11,12,27,12,20,24,12,31,4,29,11,30,19,38,29,18,11,14,32,13,21,24,14,31
mu_max_LAB_Cit,5,13,3,2,16,9,5,5,1,3,19,18,13,34,22,5,6,20,3,4,20,10,6,4,2,4,26,19,19,37,20,3
mu_max_Y_Glc,6,30,29,1,26,36,36,31,9,37,10,27,11,12,28,29,8,32,36,1,25,41,43,33,8,41,10,26,11,12,29,33
K_O2_EtOH,7,20,24,12,2,14,8,4,16,1,14,11,32,14,18,10,5,22,21,16,1,17,8,5,16,2,14,11,34,17,21,9
mu_max_AAB_Ac,8,7,21,34,6,4,10,9,23,8,3,34,14,23,13,9,11,7,17,38,6,2,10,10,25,10,2,38,15,28,11,10
t_aer,9,6,17,7,10,26,13,15,31,10,12,31,2,2,35,6,7,6,15,3,10,28,12,14,32,6,13,33,3,2,35,6
A_max,10,8,1,11,4,3,16,1,4,5,1,2,19,1,1,14,10,10,1,15,4,1,15,1,6,1,5,3,16,1,1,17
mu_max_LAB_Fru,11,11,8,5,8,7,27,14,2,4,6,5,4,13,21,2,9,12,10,6,7,7,25,13,3,3,6,5,6,16,28,4
mu_max_Y_Fru,12,24,26,20,30,19,24,8,10,15,9,6,3,19,11,24,12,25,29,17,35,20,26,6,10,11,9,7,1,23,12,27
Y_Cit_LAB,13,1,10,19,13,22,1,12,26,23,23,17,6,9,15,13,13,1,13,21,13,23,1,12,29,27,25,17,5,8,13,14
mu_max_LAB_Glc,14,14,6,13,11,8,14,28,13,7,8,8,16,5,14,34,21,13,7,11,11,8,17,27,19,7,7,10,18,5,15,40
Y_Fru_LAB,15,29,25,18,28,23,17,10,41,14,21,45,34,32,6,12,14,33,25,18,31,22,16,8,44,16,22,47,33,33,6,12
Y_Glc_Y,16,25,16,6,23,20,41,22,37,42,29,29,12,20,20,23,15,23,16,7,22,19,44,26,42,48,27,31,14,15,22,20
K_Ac_AAB,17,42,5,22,21,6,20,35,34,21,43,16,15,17,23,37,18,44,4,22,23,4,19,35,34,24,43,15,12,13,19,37
Y_Ac_AAB_EtOH,18,35,42,37,39,16,50,32,45,43,38,1,35,22,5,8,16,28,41,33,38,12,49,29,46,39,40,1,29,26,4,7
b_LA,19,17,14,16,15,43,2,7,14,13,2,42,24,21,4,4,19,15,14,20,15,44,2,11,17,19,1,43,26,20,5,2
mu_max_AAB_LA,20,45,40,38,48,24,46,41,39,41,37,38,51,47,45,40,17,45,39,37,49,24,46,42,36,40,38,39,51,46,44,39
Y_EtOH_AAB,21,3,32,10,32,12,40,13,17,29,11,28,18,11,31,44,22,2,32,8,28,15,37,16,14,28,11,25,17,10,27,43
K_Glc_Y,22,53,43,49,14,44,48,34,28,39,42,22,45,51,19,36,20,54,48,49,16,46,47,34,26,38,42,20,47,53,17,35
Y_LA_LAB_Fru,23,15,18,24,22,17,3,3,6,32,16,20,1,4,10,17,23,19,22,23,29,16,7,3,5,35,16,24,2,4,10,19
Y_Q_Glc,24,19,9,3,24,45,37,27,27,26,4,15,33,7,32,20,28,21,9,2,24,48,42,23,28,26,3,16,39,7,31,24
Y_Ac_LAB_Glc,25,39,22,32,12,25,23,18,5,18,28,21,28,3,24,16,24,41,26,36,12,25,23,24,4,15,30,28,32,3,25,15
Y_EtOH_Y_Glc,26,4,19,4,9,15,18,23,35,9,24,9,9,15,25,38,25,4,20,5,9,14,18,25,43,12,24,8,13,18,26,38
Y_Ac_AAB,27,16,20,33,19,5,4,2,38,17,30,14,40,30,3,3,26,14,19,31,18,6,4,2,37,17,31,12,36,31,3,5
K_Fru_LAB,28,22,45,21,27,42,33,11,24,34,52,30,23,35,41,41,27,17,44,19,26,39,32,9,24,32,53,29,24,32,42,41
Q_L,29,10,15,14,5,46,9,24,7,16,13,13,27,10,16,32,29,11,18,12,5,49,9,30,7,18,12,14,27,11,16,30
K_Fru_Y,30,18,30,40,31,38,28,37,18,25,36,43,22,29,40,35,31,16,30,41,33,40,27,37,15,23,36,42,22,30,41,34
Y_Q_Fru,31,12,37,17,18,39,51,42,30,35,47,23,29,42,46,46,30,9,35,13,14,35,52,41,27,31,50,21,30,36,48,49
K_Glc_LAB,32,38,33,23,25,11,29,20,21,31,25,47,36,33,34,30,33,37,33,24,21,11,30,19,23,33,21,51,43,35,37,32
K_Cit_LAB,33,31,31,43,35,48,38,40,19,22,33,33,43,26,30,26,32,34,34,44,34,50,38,40,22,21,34,36,45,21,32,28
b_E0,34,37,36,36,33,27,31,26,40,40,31,19,37,45,36,42,34,38,38,35,32,31,34,20,39,43,28,18,40,47,39,42
Y_Ac_Y_Fru,35,27,2,27,38,18,43,36,20,20,34,24,26,39,26,22,36,24,2,27,39,18,45,38,18,20,33,22,25,40,24,21
Y_Ac_Y_Glc,36,41,28,46,34,30,49,30,12,36,35,25,30,40,39,18,35,39,24,46,30,29,50,28,13,36,35,23,31,44,38,18
K_O2_Ac,37,33,49,31,3,13,7,39,32,28,32,46,17,16,43,25,38,31,50,34,3,13,5,39,31,29,29,44,10,14,43,22
b_AC1,38,43,34,39,29,47,32,45,42,30,39,35,31,49,42,45,40,42,31,40,27,47,33,45,40,30,39,35,28,50,40,44
Y_Fru_Y,39,32,38,29,41,40,42,16,49,44,17,26,21,38,27,50,43,30,40,29,45,42,41,15,52,44,17,27,20,42,23,52
Y_LA_LAB_Cit,40,36,23,50,20,49,19,38,33,33,5,10,41,36,37,21,37,35,23,51,17,51,20,36,35,34,4,9,41,38,36,23
Y_EtOH_Y_Fru,41,46,13,52,45,32,47,33,25,27,26,37,42,44,47,33,39,46,8,52,48,30,48,32,21,25,23,34,37,43,45,29
K_LA_AAB,42,55,41,26,40,51,55,52,47,48,41,41,53,46,52,51,41,55,42,26,43,43,56,50,47,42,41,41,54,45,53,51
b_AC0,43,21,7,53,37,50,25,25,48,45,44,44,39,48,29,43,42,18,5,53,36,52,24,21,51,47,44,45,42,49,30,45
k_LAB,44,40,46,48,47,31,35,19,46,24,20,40,49,50,33,47,44,40,43,48,42,34,35,17,45,22,18,40,48,48,33,46
Y_LA_LAB_Glc,45,54,44,45,51,28,34,50,15,49,51,48,25,41,38,19,45,53,45,45,50,26,31,52,12,46,51,49,23,41,34,16
mu_max_Y_LA,46,47,48,56,43,35,21,46,52,38,54,39,38,28,51,28,47,48,49,57,46,32,21,48,50,37,54,37,35,25,52,26
Y_Ac_LAB_Cit,47,34,39,42,49,53,44,43,50,19,15,36,46,37,49,53,49,36,37,42,47,53,40,43,49,13,15,32,49,34,49,54
Y_Q_EtOH,48,2,35,15,53,29,22,51,44,50,50,53,7,25,7,52,48,3,28,10,53,27,22,49,41,50,48,53,4,19,7,50
Y_EtOH_LAB_Fru,49,9,55,51,54,41,57,47,51,52,53,32,54,53,56,54,46,8,56,50,54,36,59,46,48,52,52,30,53,52,57,53
Y_LA_Y,50,52,53,41,42,55,39,48,29,47,49,54,52,31,8,48,50,51,53,39,41,56,36,47,30,49,49,55,52,29,8,48
Y_Glc_LAB,51,44,52,44,52,21,54,49,53,54,40,57,48,54,54,15,51,43,52,43,52,21,54,51,53,54,37,57,50,54,54,13
K_O2_LA,52,49,47,55,46,37,6,53,43,46,48,51,44,43,53,27,52,49,46,55,44,37,3,53,38,45,46,52,38,39,51,25
K_LA_Y,53,50,51,35,50,33,45,44,36,53,45,55,47,27,50,39,54,52,51,32,51,33,39,44,33,53,45,54,46,27,50,36
Y_EtOH_LAB_Glc,54,59,58,59,57,58,59,58,59,58,56,52,50,59,58,60,53,59,58,59,57,59,58,58,59,58,56,50,44,59,58,60
Y_Ac_LAB_Fru,55,51,50,54,55,52,30,59,58,55,46,56,56,58,55,49,55,50,47,54,55,45,28,59,58,56,47,56,56,58,55,47
Y_LA_AAB,56,57,56,47,44,54,53,55,55,51,55,49,55,52,48,55,56,58,55,47,40,54,53,54,57,51,55,48,55,51,46,56
Y_Ac_AAB_LA,57,48,54,57,56,57,56,54,54,57,57,58,59,55,57,56,57,47,54,56,56,57,55,56,55,57,57,58,59,55,56,55
b_E1,58,58,57,25,59,56,58,56,57,56,59,50,57,56,59,59,59,57,57,25,59,55,57,55,56,55,59,46,57,57,59,59
Y_EtOH_Y_LA,59,56,59,60,58,59,60,60,60,59,60,60,60,60,60,58,58,56,59,60,58,58,60,60,60,59,60,60,60,60,60,58
Y_Q_LA,60,60,60,58,60,60,52,57,56,60,58,59,58,57,9,57,60,60,60,58,60,60,51,57,54,60,58,59,58,56,9,57
