name,mu_star,sigma
k_AAB,6556.066149354443,62873.95868283132
mu_max_AAB_EtOH,4055.8223206892994,24440.47200987981
K_EtOH_AAB,3081.506403475168,19868.877743516357
k_Y,3023.696815800816,17627.649337497387
mu_max_LAB_Cit,1771.6685865126847,13261.051893203856
mu_max_Y_Glc,1551.7304368560287,10332.213320467168
K_O2_EtOH,1513.5549845363264,14386.045912258644
mu_max_AAB_Ac,1337.3069220107448,6199.161718666991
t_aer,1325.6430047780814,10892.970385972227
A_max,1304.4084372631223,6756.50761189422
mu_max_LAB_Fru,1169.9746958240983,7247.264991872981
mu_max_Y_Fru,1085.7063894855203,5902.173347010856
Y_Cit_LAB,734.3707429642396,5721.945294520748
mu_max_LAB_Glc,551.566631646161,2431.5814055761343
Y_Fru_LAB,533.7871931870642,4291.467672918989
Y_Glc_Y,508.1155401121924,3873.6226992835427
K_Ac_AAB,389.78830733655224,2598.6057280881214
Y_Ac_AAB_EtOH,389.3558212221167,3285.4030913875317
b_LA,383.73672957060575,2593.9161994556257
mu_max_AAB_LA,353.4419315058369,3145.9110510266046
Y_EtOH_AAB,321.6862676383921,2333.405757394608
K_Glc_Y,312.289816284813,2551.570480650498
Y_LA_LAB_Fru,295.1226144711284,1746.2146354530107
Y_Q_Glc,213.96639131483192,1095.4851004584493
Y_Ac_LAB_Glc,206.61234112400365,1548.0767845587075
Y_EtOH_Y_Glc,206.23621228767138,1435.5140532740998
Y_Ac_AAB,188.34334082212396,1393.3950903951165
K_Fru_LAB,179.360870817604,1323.6387943730394
Q_L,173.6897339255151,977.4536316059135
K_Fru_Y,102.84194606664713,633.7013366227101
Y_Q_Fru,102.68889158869786,680.9459514944872
K_Glc_LAB,91.58103177300626,533.1026495056213
K_Cit_LAB,90.73079647864391,566.5658803851542
b_E0,60.92124089836199,421.6079930200958
Y_Ac_Y_Fru,57.59447225271508,313.72182060588534
Y_Ac_Y_Glc,51.73516749464258,361.23912350847166
K_O2_Ac,42.81986496568348,201.69536689745928
b_AC1,31.5820096548968,139.29387440779698
Y_Fru_Y,31.095369973575686,107.90813950815522
Y_LA_LAB_Cit,28.88838504394178,214.21649630718787
Y_EtOH_Y_Fru,27.991005112793626,148.12677318329537
K_LA_AAB,26.252440825543502,130.89924184002234
b_AC0,22.603405843887916,112.45585574275006
k_LAB,14.529658642135084,92.10188653335298
Y_LA_LAB_Glc,13.112466367525005,87.62661122248075
mu_max_Y_LA,9.057844905068212,35.45738364970657
Y_Ac_LAB_Cit,6.690722414512606,28.280736806764228
Y_Q_EtOH,6.508659430274962,30.455096152597143
Y_EtOH_LAB_Fru,4.811378361559539,42.989879338718566
Y_LA_Y,4.239218706220229,18.794663283175115
Y_Glc_LAB,4.189998078840117,17.809920757581505
K_O2_LA,2.250719887842917,13.097049671735146
K_LA_Y,2.1422824710355592,8.503044148251337
Y_EtOH_LAB_Glc,1.6169966955879875,12.664737629594589
Y_Ac_LAB_Fru,1.610552282256963,7.792819986379872
Y_LA_AAB,0.755190949013631,6.76168686868437
Y_Ac_AAB_LA,0.5504925787733049,3.244187640653343
b_E1,0.2048257035684659,0.6180368628128866
Y_EtOH_Y_LA,0.08494814069622582,0.7855458865044443
Y_Q_LA,0.007279078019764427,0.0437563181008197
