,K_EtOH_AAB,A_max,mu_max_LAB_Fru,mu_max_LAB_Glc,mu_max_AAB_EtOH,mu_max_LAB_Cit,K_O2_EtOH,mu_max_AAB_Ac,t_aer,Y_Cit_LAB,k_AAB,b_LA,Q_L,mu_max_Y_Fru,Y_EtOH_Y_Glc
K_EtOH_AAB,,8.008850572892474e-05,-8.626580121915469e-05,0.001011694091691716,0.0007819114152386015,0.0011479404142880484,0.0004813043104640066,0.0002684707562506661,0.00022543020495656495,0.0004417559373043889,0.0008373756855132858,-0.0008568342679017025,-9.214289827565864e-05,0.0011351183843489902,0.0004144279150216463
A_max,,,0.00014878545017799668,-4.661630597777391e-05,-0.00021446370493480912,0.00037149007292783254,-0.00010190973229838433,-0.00045295836419416424,-0.000497521899184652,-0.0007966426825033179,-7.6149924944597e-05,-0.0001297858555233799,-0.0004258548535763973,-0.00010110666356743288,8.034635301094233e-05
mu_max_LAB_Fru,,,,-0.003010905102644535,-0.002152945764497865,0.007516903618531912,-0.0026747335120167965,-0.0033131671316769876,-0.0027997949611359295,0.013492568427143428,-0.00324143344249956,-0.002293672806110858,-0.002192450756225202,0.00042552938949869286,-0.00018192160703357687
mu_max_LAB_Glc,,,,,-0.00028456637322687127,0.00188138620242434,-0.0012280397078204962,-0.0017389172958907802,-0.0010971284830233997,0.006411257643412549,-0.00043608554981505705,-0.0017247652649647338,-0.00015483462963077066,-0.001376662597594871,0.0013492282572230645
mu_max_AAB_EtOH,,,,,,0.0022480541916386904,0.0007452019240776384,0.0016400366141043968,0.0002478718891485437,0.003526217633230383,0.0014320632500073262,0.0005952932236040669,0.001063140734665059,0.0012193785047055058,0.0005889352721482606
mu_max_LAB_Cit,,,,,,,-0.007532842246654932,0.04872985424581746,-0.00780039000132407,0.16564425938139263,-0.009257828249192985,-0.0026886952433934318,-0.001987159765709286,-0.004623367965968927,-0.005804665589555469
K_O2_EtOH,,,,,,,,0.0014222149933914227,0.0009168280920561005,0.000661377654511977,0.0009386224561716441,0.0011903257371557842,0.0012325426423887794,0.0007400030225135235,0.0007275256243804867
mu_max_AAB_Ac,,,,,,,,,0.007071316797920016,0.035559488873852296,0.007114511150788819,0.008639184385206587,0.007054352941948051,0.005196688473857416,0.007248005886980524
t_aer,,,,,,,,,,0.0012780337543531889,0.001079062884403108,0.00023177147042628167,-6.716088914719654e-05,-5.8907383311331864e-05,0.0003989486790530782
Y_Cit_LAB,,,,,,,,,,,0.004742004636402116,0.0004217353579250467,0.005132491874392287,0.017430755297461735,0.003676247660947462
k_AAB,,,,,,,,,,,,-0.0005889832158887413,-0.0008613265830655858,0.0005063507558735903,-3.7395448604646015e-05
b_LA,,,,,,,,,,,,,0.002279709540473057,0.0019165430235844041,0.0009372223955624467
Q_L,,,,,,,,,,,,,,0.0018293031695233867,-0.0009711893532559431
mu_max_Y_Fru,,,,,,,,,,,,,,,-0.00784615299075349
Y_EtOH_Y_Glc,,,,,,,,,,,,,,,
