,K_EtOH_AAB,A_max,mu_max_LAB_Fru,mu_max_LAB_Glc,mu_max_AAB_EtOH,mu_max_LAB_Cit,K_O2_EtOH,mu_max_AAB_Ac,t_aer,Y_Cit_LAB,k_AAB,b_LA,Q_L,mu_max_Y_Fru,Y_EtOH_Y_Glc
K_EtOH_AAB,,46.63552382402052,-45.29723877543284,4.101083131008523,4.6314317733359776,4.487740822887265,7.571594702849201,14.823424392431802,15.891831601548187,9.955634089108518,4.363539343525473,-4.395483629781489,-40.473531952522535,3.5910544665310757,8.369159538100057
A_max,,,11.031012145702126,-33.87466063607893,-7.2089261948245,4.2710801675083925,-16.23983624578675,-3.874396693039609,-2.875430768531956,-2.434745788802933,-21.765263600918544,-12.86824980048213,-3.382515165358688,-16.672001304254252,18.637557706738246
mu_max_LAB_Fru,,,,-2.918120341729309,-4.115970969519011,1.6164291084177385,-3.3123445754553438,-2.944323589277668,-3.178754466713066,0.9013273380509642,-2.745303119855927,-3.837579244064537,-4.097536580589925,23.581372793986386,-50.06779597128536
mu_max_LAB_Glc,,,,,-22.453571318243736,4.354175327946776,-5.239708661267219,-3.8936357384964166,-5.813936606269536,1.4332372214480205,-14.441241304369639,-3.6167850457909765,-43.80723821480067,-5.231430021869149,4.448861339462727
mu_max_AAB_EtOH,,,,,,2.7261060470019087,6.942070358231922,3.2611559463930067,20.749166362669364,1.5995728032600771,3.6003548425374903,8.65113085456452,4.804159435130372,4.089690737442495,8.454129226158537
mu_max_LAB_Cit,,,,,,,-3.433447372922771,0.5255271335425695,-3.3314550346572327,0.2158614193247169,-2.8441944168173667,-9.669954101070983,-12.433225221666184,-5.568972056354457,-4.286502185860169
K_O2_EtOH,,,,,,,,2.1335393349708403,3.1340877326452006,5.198841023385213,3.098177197880877,2.420808337883562,2.2771027592142126,3.6655546837426796,3.816223325620876
mu_max_AAB_Ac,,,,,,,,,1.8232708305037253,0.4289668857749549,1.7929475290314765,1.548736381467548,1.8054817663392366,2.5706705877093303,1.8616650679103095
t_aer,,,,,,,,,,2.3255921101680777,2.738529432595463,13.197997827391502,-40.91081962914553,-59.17179717295823,7.180729329644933
Y_Cit_LAB,,,,,,,,,,,4.612081853937131,51.957860257652925,4.1087113354736635,1.3809726251715915,6.098699947847767
k_AAB,,,,,,,,,,,,-4.377380407668265,-2.8423295026645072,5.242943047143897,-61.2004104301705
b_LA,,,,,,,,,,,,,2.512797829985149,3.659556580001801,6.2097912698816105
Q_L,,,,,,,,,,,,,,3.6971856155716356,-6.703151859176662
mu_max_Y_Fru,,,,,,,,,,,,,,,-1.2180715606342045
Y_EtOH_Y_Glc,,,,,,,,,,,,,,,
