,name,S1,ST,ST - S1,ST_conf / ST
0,mu_max_LAB_Cit,0.116,0.687,0.571,0.0374
1,Y_Cit_LAB,0.109,0.643,0.535,0.0468
2,mu_max_AAB_Ac,0.0305,0.279,0.249,0.0465
3,mu_max_Y_Fru,0.00706,0.228,0.221,0.0735
4,mu_max_LAB_Fru,0.00569,0.185,0.179,0.0752
5,Y_EtOH_Y_Glc,-0.00271,0.12,0.123,0.102
6,mu_max_LAB_Glc,0.000421,0.0946,0.0941,0.11
7,Q_L,0.00251,0.0866,0.0841,0.074
8,b_LA,0.00631,0.0778,0.0715,0.0835
9,mu_max_AAB_EtOH,-0.00394,0.0400,0.044,0.132
10,K_EtOH_AAB,0.000563,0.0247,0.0242,0.178
11,k_AAB,0.0000794,0.0171,0.0170,0.117
12,K_O2_EtOH,-0.00195,0.0138,0.0158,0.263
13,t_aer,-0.000418,0.0126,0.0130,0.238
14,A_max,0.000198,0.00348,0.00329,0.396
